,Umur,Premi,Kanal_Penjualan,Lama_Berlangganan
179297,0.18461538461538463,0.1929339924396627,0.6854648061832717,0.9342560553633218
26094,0.18461538461538463,0.8305612096539692,0.7592592592592593,0.2768166089965398
215241,0.06153846153846154,0.21180575748764174,0.9320987654320988,0.9446366782006921
37071,0.12307692307692308,0.20674614713579528,0.9320987654320988,0.7716262975778547
222830,0.4307692307692308,0.9664146554230881,0.15432098765432098,0.6816608996539792
23178,0.046153846153846156,0.25158476301250365,0.9320987654320988,0.9619377162629758
7576,0.289846585619257,0.037598138993893575,0.7592592592592593,0.2560553633217993
155803,0.2923076923076923,0.3186972957255016,0.15432098765432098,0.9584775086505191
75973,0.15384615384615385,0.23419598720558302,0.9320987654320988,0.4993437716555408
203795,0.015384615384615385,0.2966006949322745,0.9814814814814815,0.15570934256055363
101540,0.4,0.14155277697004942,0.15432098765432098,0.9342560553633218
56691,0.0,0.05705146845013085,0.9814814814814815,0.5986159169550173
80061,0.06153846153846154,0.32111078801977316,0.9320987654320988,0.8027681660899654
9983,0.09230769230769231,0.5017156150043617,0.7592592592592593,0.42214532871972316
205552,0.5692307692307692,0.7822622855481245,0.15432098765432098,0.8339100346020761
166291,0.46153846153846156,0.6876999127653388,0.15432098765432098,0.11418685121107267
37594,0.4307692307692308,0.6131433556266357,0.15432098765432098,0.7647058823529411
173939,0.03076923076923077,0.3946205292236115,0.9320987654320988,0.754325259515571
212996,0.046153846153846156,0.23701657458563535,0.9320987654320988,0.14878892733564014
273771,0.3230769230769231,0.3962198313463216,0.15432098765432098,0.615916955017301
233214,0.8923076923076924,0.2966006949322745,0.14814814814814814,0.44982698961937717
196953,0.38461538461538464,0.383047397499273,0.7592592592592593,0.9619377162629758
63826,0.6153846153846154,0.2950276243093923,0.15432098765432098,0.6262975778546713
217218,0.4461538461538462,0.21762140157022392,0.9320987654320988,0.031141868512110725
178234,0.7846153846153846,0.23483570805466705,0.037037037037037035,0.16262975778546712
59249,0.07692307692307693,0.32608316371038093,0.9320987654320988,0.8615916955017301
17758,0.7076923076923077,0.6450712416400116,0.7592592592592593,0.6678200692041523
38899,0.06153846153846154,0.6943006687990695,0.9320987654320988,0.43252595155709345
66984,0.07692307692307693,0.2966006949322745,0.6854648061832717,0.9965397923875432
84594,0.2923076923076923,0.22968886304158184,0.9320987654320988,0.4993437716555408
270663,0.47692307692307695,0.7060482698458854,0.15432098765432098,0.8027681660899654
181854,0.015384615384615385,0.04248328002326258,0.9814814814814815,0.07612456747404844
43254,0.3230769230769231,0.12640302413492294,0.14814814814814814,0.03460207612456748
201596,0.1076923076923077,0.2966006949322745,0.9320987654320988,0.7058823529411765
274164,0.046153846153846156,0.70389648153533,0.9320987654320988,0.02768166089965398
25303,0.07692307692307693,0.37810410002907824,0.9320987654320988,0.6193771626297578
200422,0.3384615384615385,0.4296888630415819,0.15432098765432098,0.04498269896193772
238535,0.06153846153846154,0.2219249781913347,0.9320987654320988,0.2837370242214533
67675,0.07692307692307693,0.06466996219831346,0.9320987654320988,0.9515570934256056
56785,0.13846153846153847,0.19514393719104392,0.9320987654320988,0.9446366782006921
260364,0.1076923076923077,0.65274789182902,0.9259259259259259,0.36678200692041524
186210,0.5076923076923077,0.9164001163128817,0.7592592592592593,0.7993079584775087
216061,0.23076923076923078,0.08325094504216342,0.15432098765432098,0.04844290657439446
24370,0.6,0.1761558592614132,0.15432098765432098,0.06920415224913495
94647,0.4307692307692308,0.3945332945623728,0.6854648061832717,0.9238754325259516
170490,0.03076923076923077,0.42971794126199475,0.9814814814814815,0.1245674740484429
214187,0.38461538461538464,0.543326548415237,0.15432098765432098,0.8719723183391004
9588,0.27692307692307694,0.2568188426868276,0.7592592592592593,0.8581314878892734
40756,0.06153846153846154,0.3281767955801105,0.9320987654320988,0.10380622837370242
63092,0.07692307692307693,0.3775516138412329,0.9320987654320988,0.10380622837370242
4824,0.2923076923076923,0.5031695260250073,0.7592592592592593,0.972318339100346
50355,0.03076923076923077,0.13294562372782787,0.9320987654320988,0.45674740484429066
254214,0.46153846153846156,0.2591160220994475,0.043209876543209874,0.5017301038062284
42420,0.5538461538461539,0.5131433556266356,0.9320987654320988,0.21453287197231835
180020,0.5538461538461539,0.28418144809537654,0.15432098765432098,0.4993437716555408
231998,0.03076923076923077,0.28310555394009884,0.9320987654320988,0.9238754325259516
103360,0.09230769230769231,0.37792963070660074,0.9320987654320988,0.4117647058823529
81620,0.6,0.25079965106135504,0.7592592592592593,0.36678200692041524
41537,0.06153846153846154,0.2827856935155568,0.9320987654320988,0.06920415224913495
242398,0.46153846153846156,0.35143937191043906,0.7592592592592593,0.1384083044982699
188904,0.015384615384615385,0.24611805757487643,0.9814814814814815,0.8200692041522492
